Date,Open,High,Low,Close,Adj Close,Volume
2/22/2017,31.850096,32.020874,31.54649,31.86907,26.460035,28676494
2/23/2017,31.973434,32.371918,31.859583,32.314991,26.830269,32122863
2/24/2017,32.419353,32.590134,32.248577,32.504745,26.987818,26046448
2/27/2017,32.47628,32.694496,32.409866,32.52372,27.003572,23009136
2/28/2017,32.35294,32.504745,32.172676,32.371918,26.877531,28964658
3/1/2017,32.514233,32.76091,32.305504,32.656548,27.113857,34034925
3/2/2017,32.694496,32.969639,32.656548,32.741936,27.184753,26952993
3/3/2017,32.741936,32.874763,32.599621,32.751423,27.192627,19800760
3/6/2017,32.571156,32.703983,32.333965,32.590134,27.05871,19174263
3/7/2017,32.134724,32.447819,32.020874,32.248577,26.775126,30783335
3/8/2017,32.172676,32.35294,31.992411,32.172676,26.712111,23870360
3/9/2017,32.144215,32.390892,32.049335,32.305504,26.822395,20199594
3/10/2017,32.390892,32.561668,32.258064,32.362431,26.869658,20214666
3/13/2017,32.390892,32.400379,32.172676,32.362431,26.869658,19988056
3/14/2017,32.277039,32.571156,32.23909,32.466793,26.956308,15563469
3/15/2017,32.466793,32.922199,32.428844,32.855785,27.27928,24279839
3/16/2017,32.798862,32.855785,32.495255,32.666035,27.121733,21816219
3/17/2017,32.694496,32.80835,32.514233,32.561668,27.035078,45736117
3/20/2017,32.637569,32.732449,32.561668,32.618595,27.082346,18435514
3/21/2017,32.71347,32.836811,32.428844,32.495255,26.979935,33083479
3/22/2017,32.542694,32.770397,32.248577,32.703983,27.153238,27528267
3/23/2017,32.561668,32.789375,32.47628,32.533207,27.011446,21378704
3/24/2017,32.514233,32.514233,32.201138,32.258064,26.783007,28583110
3/27/2017,32.011387,32.552181,32.011387,32.428844,26.924803,18852055
3/28/2017,32.314991,32.504745,32.229603,32.409866,26.909044,19327725
3/29/2017,32.409866,32.685009,32.362431,32.571156,27.042955,18214174
3/30/2017,32.438332,32.675522,32.400379,32.590134,27.05871,15803465
3/31/2017,32.457306,32.618595,32.409866,32.457306,26.948429,19616837
4/3/2017,32.362431,32.590134,32.35294,32.485767,26.972061,19064752
4/4/2017,32.428844,32.732449,32.305504,32.580647,27.050837,20324177
4/5/2017,32.571156,32.751423,32.400379,32.438332,26.932678,20321225
4/6/2017,32.390892,32.590134,32.314991,32.362431,26.869658,17164706
4/7/2017,32.343452,32.495255,32.296017,32.35294,26.861774,14728069
4/10/2017,32.381405,32.466793,32.229603,32.296017,26.814512,16852722
4/11/2017,32.277039,32.333965,32.011387,32.19165,26.727859,20155642
4/12/2017,32.144215,32.248577,31.982922,32.182163,26.719982,26022628
4/13/2017,32.144215,32.277039,32.087288,32.144215,26.688477,13560553
4/17/2017,32.163189,32.305504,32.087288,32.258064,26.783007,15963462
